Organism_name	Isoniazid	Rifampicin	Ethambutol	Pyrazinamide	Streptomycin	Ciprofloxacin	Moxifloxacin	Ofloxacin	Amikacin	Capreomycin	Kanamycin	Prothionamide	Ethionamide	URL
SAMEA1403704	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403705	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403706	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403707	R	R	S	S	R	No result	S	S	S	S	No result	R	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403708	R	R	S	S	R	No result	S	R	S	S	No result	R	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403709	R	R	S	S	R	No result	S	S	S	S	No result	R	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403710	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403711	R	R	R	S	R	No result	S	R	S	S	No result	R	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403712	R	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403713	S	R	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403714	R	S	S	S	R	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403715	R	R	S	S	R	No result	No result	S	S	S	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403716	R	R	R	S	R	No result	S	S	S	S	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403717	R	R	S	S	R	No result	S	S	S	S	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403718	R	R	S	S	R	No result	S	S	S	S	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403719	R	S	S	S	R	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403720	R	S	R	S	R	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403721	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403722	R	S	R	S	R	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403723	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403725	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403726	R	S	S	S	R	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403727	R	R	S	R	R	No result	S	S	S	S	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403728	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403729	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403730	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403731	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403732	R	R	R	R	R	No result	R	R	R	S	No result	R	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403734	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403735	S	R	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403736	R	R	R	R	R	No result	R	R	R	R	No result	R	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403737	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403738	R	R	R	S	R	No result	S	S	S	S	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403739	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403740	R	R	R	R	R	No result	R	R	S	S	No result	R	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403741	R	R	S	S	R	No result	R	R	S	S	No result	R	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403743	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403744	R	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403745	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403746	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403747	R	R	R	R	R	No result	R	S	S	S	No result	R	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403748	R	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403749	R	R	S	S	S	No result	R	R	S	S	No result	R	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403750	R	R	S	S	R	No result	S	S	S	S	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403751	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403752	R	R	S	S	R	No result	S	S	S	S	No result	R	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403753	R	R	S	S	R	No result	S	S	S	S	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403754	R	R	R	S	R	No result	S	S	S	S	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403756	R	R	R	S	R	No result	S	S	S	S	No result	R	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403757	R	R	S	S	R	No result	S	S	S	S	No result	R	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403758	R	R	R	S	R	No result	R	R	R	S	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403759	R	R	R	S	R	No result	S	S	S	S	No result	R	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403760	R	R	R	S	S	No result	S	S	S	S	No result	R	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403761	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403762	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
